Correct,Incorrect,Uncertain,Uncertain but correct
0.08,0.47,0.45,0.25
0.2,0.27,0.53,0.31
0.9,0.01,0.09,1.0
0.09,0.47,0.45,0.29
0.18,0.23,0.58,0.28
0.86,0.0,0.14,1.0
0.0,0.33,0.67,0.0
0.97,0.0,0.03,1.0
0.0,0.9,0.1,1.0
0.01,0.14,0.85,0.04
0.97,0.0,0.03,0.8
0.0,0.81,0.19,1.0
0.0,0.14,0.86,0.08
0.97,0.0,0.03,1.0
0.0,0.78,0.22,0.95
0.01,0.1,0.89,0.08
0.96,0.0,0.04,1.0
0.0,0.82,0.18,0.94
0.11,0.17,0.72,0.36
0.87,0.0,0.13,0.85
0.12,0.12,0.76,0.95
0.1,0.3,0.59,0.28
0.69,0.01,0.29,0.33
0.61,0.0,0.39,0.97
0.1,0.26,0.64,0.25
0.61,0.05,0.34,0.4
0.73,0.0,0.27,1.0
0.11,0.28,0.61,0.19
0.48,0.03,0.49,0.52
0.75,0.0,0.25,1.0
0.11,0.34,0.56,0.22
0.63,0.07,0.3,0.34
0.68,0.02,0.3,0.97
0.11,0.4,0.49,0.21
0.6,0.08,0.32,0.37
0.84,0.0,0.16,1.0
0.1,0.35,0.55,0.17
0.24,0.23,0.54,0.3
0.92,0.0,0.08,1.0
0.11,0.4,0.49,0.19
0.17,0.45,0.39,0.36
0.9,0.0,0.1,1.0
0.07,0.1,0.83,0.23
0.98,0.0,0.01,1.0
0.02,0.53,0.45,0.89
0.12,0.13,0.76,0.39
0.92,0.0,0.08,0.88
0.12,0.11,0.77,0.96
0.1,0.12,0.79,0.41
0.93,0.0,0.07,0.93
0.19,0.07,0.74,0.95
0.12,0.1,0.78,0.37
0.82,0.0,0.17,0.86
0.27,0.01,0.72,0.94
0.1,0.29,0.6,0.27
0.64,0.01,0.35,0.34
0.59,0.03,0.38,1.0
0.1,0.36,0.54,0.2
0.64,0.14,0.22,0.27
0.79,0.0,0.21,1.0
0.1,0.35,0.54,0.21
0.41,0.12,0.47,0.5
0.88,0.0,0.12,1.0
0.1,0.35,0.56,0.15
0.25,0.09,0.66,0.3
0.91,0.0,0.09,1.0
0.1,0.39,0.52,0.23
0.62,0.07,0.3,0.35
0.73,0.02,0.25,1.0
0.1,0.4,0.5,0.23
0.56,0.18,0.26,0.53
0.87,0.0,0.13,1.0
0.1,0.41,0.49,0.22
0.2,0.24,0.56,0.29
0.9,0.0,0.1,1.0
0.1,0.4,0.51,0.21
0.16,0.42,0.41,0.34
0.91,0.0,0.09,1.0
0.12,0.15,0.73,0.35
0.83,0.0,0.17,0.88
0.17,0.16,0.67,0.94
0.12,0.3,0.57,0.21
0.68,0.04,0.28,0.42
0.58,0.01,0.41,0.98
0.1,0.3,0.59,0.28
0.55,0.05,0.4,0.54
0.72,0.0,0.28,1.0
0.1,0.29,0.6,0.26
0.53,0.06,0.41,0.47
0.81,0.01,0.18,0.94
0.09,0.32,0.59,0.25
0.67,0.06,0.28,0.33
0.67,0.02,0.31,0.97
0.11,0.36,0.53,0.17
0.59,0.03,0.38,0.32
0.85,0.0,0.15,1.0
0.1,0.36,0.54,0.22
0.26,0.2,0.55,0.36
0.9,0.0,0.1,1.0
0.1,0.41,0.48,0.19
0.17,0.45,0.38,0.34
0.92,0.0,0.08,1.0
